"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","EDUCATION_LEV","Education level","MOBILITY","Mobility","YEAR","Year","Value","Flag Codes","Flags"
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2020","2020",742,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",799,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_8","Doctoral or equivalent level","_T","Total","2017","2017",18,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_8","Doctoral or equivalent level","_T","Total","2018","2018",21,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_8","Doctoral or equivalent level","_T","Total","2019","2019",28,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_8","Doctoral or equivalent level","_T","Total","2020","2020",12,,
"SVN","Slovenia","_T","Total","F01","Education","ISCED11_8","Doctoral or equivalent level","_T","Total","2021","2021",10,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_35","Upper secondary vocational education","_T","Total","2017","2017",639,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_35","Upper secondary vocational education","_T","Total","2018","2018",624,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_35","Upper secondary vocational education","_T","Total","2019","2019",611,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_35","Upper secondary vocational education","_T","Total","2020","2020",640,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_35","Upper secondary vocational education","_T","Total","2021","2021",672,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2017","2017",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2018","2018",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2019","2019",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2020","2020",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2021","2021",,"m","Missing value; data cannot exist"
