"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","EDUCATION_LEV","Education level","MOBILITY","Mobility","YEAR","Year","Value","Flag Codes","Flags"
"POL","Poland","F","Female","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",14750,,
"NOR","Norway","M","Male","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1751,,
"MEX","Mexico","M","Male","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",65265,,
"CAN","Canada","F","Female","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2028,,
"CHL","Chile","M","Male","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1195,,
"GRC","Greece","M","Male","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1003,,
"BRA","Brazil","M","Male","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",188973,,
"GBR","United Kingdom","_T","Total","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",97555,,
"CHE","Switzerland","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2718,,
"ITA","Italy","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",7402,,
"IRL","Ireland","F","Female","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1373,,
"CHE","Switzerland","_T","Total","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2619,,
"COL","Colombia","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",3092,,
"AUT","Austria","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1350,,
"ITA","Italy","_T","Total","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",24679,,
"PRT","Portugal","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",762,,
"BRA","Brazil","_T","Total","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",7543,,
"FIN","Finland","F","Female","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",311,,
"AUT","Austria","F","Female","F07","Engineering, manufacturing and construction","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1436,,
"FIN","Finland","M","Male","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",249,,
"DNK","Denmark","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1561,,
"BEL","Belgium","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1341,,
"ISL","Iceland","_T","Total","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",519,,
"FRA","France","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",8877,,
"FIN","Finland","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2969,,
"AUT","Austria","F","Female","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1916,,
"HUN","Hungary","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1230,,
"LUX","Luxembourg","F","Female","F07","Engineering, manufacturing and construction","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",8,,
"CHL","Chile","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2579,,
"LTU","Lithuania","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",363,,
"ESP","Spain","M","Male","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",6150,,
"MEX","Mexico","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",8892,,
"ISR","Israel","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",375,,
"CHL","Chile","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",481,,
"USA","United States","M","Male","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",23552,,
"CHE","Switzerland","M","Male","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",810,,
"MEX","Mexico","_T","Total","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",65820,,
"NZL","New Zealand","_T","Total","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",834,,
"ISR","Israel","M","Male","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1391,,
"NZL","New Zealand","F","Female","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",6968,,
"MEX","Mexico","M","Male","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",1548,,
"GBR","United Kingdom","M","Male","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",18299,,
"BRA","Brazil","_T","Total","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",437885,,
"AUT","Austria","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2844,,
"BRA","Brazil","_T","Total","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",60788,,
"EST","Estonia","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",181,,
"GBR","United Kingdom","_T","Total","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",44650,,
"DEU","Germany","_T","Total","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",22055,,
"IRL","Ireland","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",4686,,
"ISL","Iceland","M","Male","F07","Engineering, manufacturing and construction","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",182,,
"DEU","Germany","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",4339,,
"BEL","Belgium","F","Female","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",613,,
"LUX","Luxembourg","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",6,,
"MEX","Mexico","M","Male","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",14839,,
"CHE","Switzerland","F","Female","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2139,,
"ISL","Iceland","_T","Total","F09","Health and welfare","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",233,,
"CHE","Switzerland","M","Male","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",4299,,
"HUN","Hungary","M","Male","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",583,,
"CAN","Canada","F","Female","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",3081,,
"ESP","Spain","M","Male","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",9230,,
"NOR","Norway","M","Male","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1449,,
"GRC","Greece","_T","Total","F03","Social sciences, journalism and information","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",4265,,
"USA","United States","F","Female","F10","Services","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",41975,,
"ESP","Spain","_T","Total","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",24475,,
"CAN","Canada","F","Female","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",4335,,
"SVK","Slovak Republic","M","Male","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",179,,
"JPN","Japan","F","Female","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",26956,"w","Includes data from another category"
"MEX","Mexico","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",3222,,
"DNK","Denmark","F","Female","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2203,,
"USA","United States","M","Male","F09","Health and welfare","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",65834,,
"CHE","Switzerland","_T","Total","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",18801,,
"USA","United States","M","Male","F09","Health and welfare","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",69202,,
"USA","United States","_T","Total","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",15404,,
"ITA","Italy","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2100,,
"JPN","Japan","_T","Total","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",17715,"w","Includes data from another category"
"LVA","Latvia","F","Female","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",776,,
"SWE","Sweden","M","Male","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",1491,,
"ISL","Iceland","M","Male","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",109,,
"FRA","France","_T","Total","F09","Health and welfare","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",51207,,
"COL","Colombia","_T","Total","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2959,,
"DEU","Germany","_T","Total","F10","Services","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",15362,,
"PRT","Portugal","M","Male","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",681,,
"KOR","Korea","F","Female","F06","Information and Communication Technologies (ICTs)","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",5619,,
"ITA","Italy","M","Male","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",3749,,
"IRL","Ireland","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",736,,
"USA","United States","M","Male","F10","Services","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",41245,,
"AUS","Australia","M","Male","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",241,,
"ISR","Israel","F","Female","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",338,,
"CZE","Czechia","M","Male","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2812,,
"CHL","Chile","F","Female","F01","Education","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",7892,,
"CAN","Canada","F","Female","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",25419,,
"KOR","Korea","M","Male","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",26432,,
"CHE","Switzerland","M","Male","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",9844,,
"KOR","Korea","_T","Total","F02","Arts and humanities","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",10967,,
"USA","United States","F","Female","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",4660,,
"DEU","Germany","M","Male","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",50535,,
"IRL","Ireland","F","Female","F02","Arts and humanities","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",4254,,
"DEU","Germany","M","Male","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",8207,,
"CAN","Canada","F","Female","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",25536,,
"USA","United States","F","Female","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",13378,,
"ITA","Italy","_T","Total","F01","Education","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",23481,,
"JPN","Japan","_T","Total","F04","Business, administration and law","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",9538,"w","Includes data from another category"
"GBR","United Kingdom","_T","Total","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",28213,,
"FIN","Finland","M","Male","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",2176,,
"AUS","Australia","_T","Total","F08","Agriculture, forestry, fisheries and veterinary","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",635,,
"PRT","Portugal","M","Male","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",2049,,
"CHE","Switzerland","F","Female","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",58,,
"CHL","Chile","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",624,,
"NLD","Netherlands","M","Male","F10","Services","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",3358,,
"LUX","Luxembourg","F","Female","F05","Natural sciences, mathematics and statistics","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",13,,
"BEL","Belgium","_T","Total","F10","Services","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",359,,
"FIN","Finland","_T","Total","F07","Engineering, manufacturing and construction","ISCED11_7","Master’s or equivalent level","_T","Total","2021","2021",3060,,
"DEU","Germany","_T","Total","F04","Business, administration and law","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2021","2021",113387,,
