"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",85.346603,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",89.840401,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.0503707,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"m","Missing data"
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.9799545,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"c","Data below the publication limit"
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",10.964542,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",15.741911,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",11.115848,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F03","Social sciences, journalism and information","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",9.0420446,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",84.911919,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",80.704315,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",85.654846,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",87.808838,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.70435,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",5.1948018,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.0158174,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.7468643,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",11.821645,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",14.873532,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F04","Business, administration and law","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",8.7730122,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",82.796692,,
