COUNTRY,Country,SEX,Gender,EDUCATION_FIELD,Field,EDUCATION_LEV,Education level,MOBILITY,Mobility,YEAR,Year,Value,Flag Codes,Flags
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,18489,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,19733,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,20876,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,22206,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,22411,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,68590,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,66656,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,63365,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,60306,,
USA,United States,_T,Total,F07,"Engineering, manufacturing and construction",ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,59944,,
USA,United States,F,Female,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2017,2017,14860,,
USA,United States,F,Female,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2018,2018,15617,,
USA,United States,F,Female,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2019,2019,15573,,
USA,United States,F,Female,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2020,2020,18014,,
USA,United States,F,Female,F06,Information and Communication Technologies (ICTs),ISCED11_7,Master’s or equivalent level,_T,Total,2021,2021,19380,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,193137,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,198064,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,202422,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,216945,,
USA,United States,_T,Total,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,220845,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2017,2017,88256,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2018,2018,88549,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2019,2019,88673,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2020,2020,91601,,
USA,United States,M,Male,F05,"Natural sciences, mathematics and statistics",ISCED11_6,Bachelor’s or equivalent level,_T,Total,2021,2021,90177,,
