"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","MOBILITY","Country of citizenship","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"DEU","Germany","M","Male","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",1084,,
"DEU","Germany","_T","Total","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",2069,,
"DEU","Germany","M","Male","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",56310,,
"DEU","Germany","_T","Total","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",15401,,
"DEU","Germany","F","Female","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",561,,
"DEU","Germany","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",38720,,
"DEU","Germany","M","Male","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",141239.282,,
"DEU","Germany","_T","Total","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",179959.282,,
"DEU","Germany","F","Female","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",5467,,
"DEU","Germany","M","Male","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",13049,,
"DEU","Germany","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",18516,,
"DEU","Germany","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",12301,,
"DEU","Germany","_T","Total","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",54074,,
"DEU","Germany","F","Female","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",214,,
"DEU","Germany","M","Male","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",618,,
"DEU","Germany","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",832,,
"DEU","Germany","F","Female","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",96918.13,,
"DEU","Germany","M","Male","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",362698.912,,
"DEU","Germany","_T","Total","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",459617.041,,
"DEU","Germany","F","Female","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",957,,
"DEU","Germany","M","Male","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",2815,,
"DEU","Germany","_T","Total","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",3772,,
"DEU","Germany","_T","Total","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",156307,,
"DEU","Germany","F","Female","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",521,,
"DEU","Germany","M","Male","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",1300,,
"DEU","Germany","_T","Total","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",1821,,
"JPN","Japan","M","Male","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",56619,"w","Includes data from another category"
"JPN","Japan","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",78416,"w","Includes data from another category"
"JPN","Japan","M","Male","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",771,"w","Includes data from another category"
"JPN","Japan","_T","Total","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","F","Female","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",4899,"w","Includes data from another category"
"JPN","Japan","_T","Total","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",19781,"w","Includes data from another category"
"JPN","Japan","F","Female","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",423,"w","Includes data from another category"
"JPN","Japan","M","Male","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",724,"w","Includes data from another category"
"JPN","Japan","_T","Total","F05","Natural sciences, mathematics and statistics","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",1147,"w","Includes data from another category"
"JPN","Japan","_T","Total","F05","Natural sciences, mathematics and statistics","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"JPN","Japan","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"k","Data included in another category"
"JPN","Japan","F","Female","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","M","Male","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","F","Female","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"JPN","Japan","_T","Total","F06","Information and Communication Technologies (ICTs)","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"JPN","Japan","M","Male","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"JPN","Japan","_T","Total","F06","Information and Communication Technologies (ICTs)","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"k","Data included in another category"
"JPN","Japan","F","Female","F06","Information and Communication Technologies (ICTs)","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","F","Female","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",58708,"w","Includes data from another category"
"JPN","Japan","_T","Total","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",381035,"w","Includes data from another category"
"JPN","Japan","F","Female","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",2306,"w","Includes data from another category"
"JPN","Japan","M","Male","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",7208,"w","Includes data from another category"
"JPN","Japan","M","Male","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","_T","Total","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_6","Bachelor’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","F","Female","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",9132,"w","Includes data from another category"
"JPN","Japan","M","Male","F07","Engineering, manufacturing and construction","_T","Total","ISCED11_7","Master’s or equivalent level","2020","2020",57887,"w","Includes data from another category"
"JPN","Japan","F","Female","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",2258,"w","Includes data from another category"
"JPN","Japan","_T","Total","F07","Engineering, manufacturing and construction","MOB","Mobile including homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",7562,"w","Includes data from another category"
"JPN","Japan","M","Male","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"JPN","Japan","_T","Total","F07","Engineering, manufacturing and construction","MOB_HOME","Homecoming nationals","ISCED11_7","Master’s or equivalent level","2020","2020",,"o","Missing value"
"MEX","Mexico","F","Female","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",61878,,
"MEX","Mexico","M","Male","F05","Natural sciences, mathematics and statistics","_T","Total","ISCED11_6","Bachelor’s or equivalent level","2020","2020",61393,,
